video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp,status
https://www.tiktok.com/@hpcxz/video/7547625205418528018,hpcxz,@maddox1438 #fyp #viral #aesthetic #2016 #edit ,420,8.0,0.0,2025-9-8,,False,True,False,False,False,False,"['fyp', 'viral', 'aesthetic', '2016', 'edit']",2026-04-10 04:14:36,done
https://www.tiktok.com/@brookemonk_/video/7592356272557559070,brookemonk_,2016 is back ,2700000,15000.0,0.0,2025-11-25,,False,False,False,False,False,False,[],2026-04-10 04:14:45,done
https://www.tiktok.com/@mf.langaro/video/7593440527433977109,mf.langaro,como eu achei q iria ser minha adolescência @DAY LANGARO minha diva #2016 #2016vibes #tumblr #nostalgia #nostalgic ,8187,21.0,0.0,2026-6-79,,False,True,False,False,False,False,"['2016', '2016vibes', 'tumblr', 'nostalgia', 'nostalgic']",2026-04-10 04:14:53,done
https://www.tiktok.com/@_cinnamqn.girl_/video/7619477469812231438,_cinnamqn.girl_,"🫧👙🛍️🐩🌺

                                              #2016 #nostalgia #pink #moodboard #aesthetic ",1149,4.0,0.0,2026-6-79,,False,False,False,False,False,False,"['2016', 'nostalgia', 'pink', 'moodboard', 'aesthetic']",2026-04-10 04:15:01,done
https://www.tiktok.com/@vibenotka/video/7580652254542286091,vibenotka,#2016 #fyp #vibes #rek ,56200,468.0,0.0,2025-12-6,,False,False,False,False,False,False,"['2016', 'fyp', 'vibes', 'rek']",2026-04-10 04:15:07,done
https://www.tiktok.com/@solnechnoxd/video/7011627663987100934,solnechnoxd,#pov : сейчас 2016 год ❤️‍🩹 #эстетика #2016 #2017 #2к17 #fyp #fyr #on,177700,1144.0,0.0,2021-9-24,,False,False,False,False,False,False,"['pov', '%D1%8D%D1%81%D1%82%D0%B5%D1%82%D0%B8%D0%BA%D0%B0', '2016', '2017', '2%D0%BA17', 'fyp', 'fyr', 'on']",2026-04-10 04:15:14,done
https://www.tiktok.com/@imogenlucieagain/video/7599059316401851670,imogenlucieagain,How 😭,47700,943.0,0.0,2026-6-79,,False,False,False,False,False,False,[],2026-04-10 04:15:20,done
https://www.tiktok.com/@luv.cxco.tips/video/7525543546603064589,luv.cxco.tips,2016.. #2016 #tiktok #aesthetic #viral #justinbieber #arianagrande #edit #old #happy #vibes ,21,0.0,0.0,2025-7-10,,False,False,False,False,False,False,"['2016', 'tiktok', 'aesthetic', 'viral', 'justinbieber', 'arianagrande', 'edit', 'old', 'happy', 'vibes']",2026-04-10 04:15:30,done
https://www.tiktok.com/@liars1570/video/7597059139403074823,liars1570,Coisas que eram moda 2016 #fy #2016 #nostalgia 2026 novo 2016 ,70800,299.0,0.0,2026-6-79,,False,False,False,False,False,False,"['fy', '2016', 'nostalgia']",2026-04-10 04:15:36,done
https://www.tiktok.com/@routine.videos011/video/6990039378726784261,routine.videos011,𝚃𝙷𝙰𝙽𝙺𝚂 𝚂𝙾 𝙼𝚄𝙲𝙷 𝙵𝙾𝚁 𝟺𝟶𝟶𝙺 𝙵𝙾𝙻𝙻𝙾𝚆𝙴𝚁𝚂!! #foryou #fyp #fy #routine #routineaesthetic #rotinaaesthetic #totina,777300,3961.0,0.0,2021-7-28,,False,False,False,False,False,False,"['foryou', 'fyp', 'fy', 'routine', 'routineaesthetic', 'rotinaaesthetic', 'totina']",2026-04-10 04:15:46,done
https://www.tiktok.com/@.taefilms/video/7596429444588244255,.taefilms,"This song is too good! || #catherinepaiz #aesthetic #edit #foryoupage #2016 || 
Ac: @☆. ( ORIGINAL CONTENT) Catherine paiz for you page edit 2016 trending viral aesthetic. ",1181,6.0,0.0,2026-6-79,,False,False,False,False,False,False,"['catherinepaiz', 'aesthetic', 'edit', 'foryoupage', '2016']",2026-04-10 04:15:57,done
https://www.tiktok.com/@aiymmiss2005/video/7584735244444618000,aiymmiss2005,#CapCut  #Biscoitocut #OutfitIdeas стиль,5675,742.0,0.0,2025-12-17,,False,False,False,False,False,False,"['capcut', 'biscoitocut', 'outfitideas']",2026-04-10 04:16:04,done
https://www.tiktok.com/@neemabella/video/7554549817964350733,neemabella,"so im back... ib: @kiuzr @bareylena 
#mograph #2016 #2016aesthetic 
#tumblraesthetic #fyp ",10100,80.0,0.0,2025-9-26,,False,False,False,False,False,False,"['mograph', '2016', '2016aesthetic', 'tumblraesthetic', 'fyp']",2026-04-10 04:16:15,done
https://www.tiktok.com/@glazinqstars/video/7613469535219223830,glazinqstars,#HENRY - the 2016 vibes omg #aestheticedits #fyp #edit #horridhenryedit ,206,8.0,0.0,2026-6-79,,False,False,False,False,False,False,"['henry', 'aestheticedits', 'fyp', 'edit', 'horridhenryedit']",2026-04-10 04:16:21,done
https://www.tiktok.com/@ashynews0/video/7607159853626215702,ashynews0,2016 prime #ashleytrevino #ashtrevinoedit #edit #itgirl #2016 ,638,10.0,0.0,2025-11-10,,False,False,False,False,False,False,"['ashleytrevino', 'ashtrevinoedit', 'edit', 'itgirl', '2016']",2026-04-10 04:16:28,done
https://www.tiktok.com/@krystof_theer_cz/video/7590180326903794966,krystof_theer_cz,#2016#2016nostalgia#2016aesthetic#2016memories#2016vibe,1050,0.0,0.0,2025-12-31,,False,False,False,False,False,False,"['2016', '2016nostalgia', '2016aesthetic', '2016memories', '2016vibe']",2026-04-10 04:16:39,done
https://www.tiktok.com/@lockoftimes/video/7597549924443606327,lockoftimes,The faces of Musical.ly… #musically#2016#babyariel ,2400000,5080.0,0.0,2025-8-19,,False,False,False,False,False,False,"['musically', '2016', 'babyariel']",2026-04-10 04:16:45,done
https://www.tiktok.com/@luizfelipeluiz15/video/7565675169323289863,luizfelipeluiz15,💭//#athetic #2016#nostalgia #vibe#creatorsearchinsights ,6576,60.0,0.0,2025-10-26,,False,False,False,False,False,False,"['athetic', '2016', 'nostalgia', 'vibe', 'creatorsearchinsights']",2026-04-10 04:16:51,done
https://www.tiktok.com/@molifejourneys/video/7568206580768967967,molifejourneys,#BeverlyHills #2016 #fyp #losangeles #tumblraesthetic ,100000,597.0,0.0,2025-11-2,,False,False,False,False,False,False,"['beverlyhills', '2016', 'fyp', 'losangeles', 'tumblraesthetic']",2026-04-10 04:16:57,done
https://www.tiktok.com/@pisaczdreszczykiem/video/7595532646856297750,pisaczdreszczykiem,Tumblr nostalgia #2016 #tumblr #aesthetic #nostalgia #grunge ,887,3.0,0.0,2026-6-79,,False,False,False,False,False,False,"['2016', 'tumblr', 'aesthetic', 'nostalgia', 'grunge']",2026-04-10 04:17:06,done
https://www.tiktok.com/@juliaferraric/video/7605743320085630228,juliaferraric,vem comigo tentar ser o qie gabbi rippi era !! notas pro look??,75500,182.0,0.0,2026-6-79,,False,False,False,False,False,False,[],2026-04-10 04:17:11,done
https://www.tiktok.com/@frutiger_realm/video/7551495302180818232,frutiger_realm,#aesthetic #2016 #nostalgic #2010s #fyp ,1949,12.0,0.0,2025-9-18,,False,False,False,False,False,False,"['aesthetic', '2016', 'nostalgic', '2010s', 'fyp']",2026-04-10 04:17:21,done
https://www.tiktok.com/@thisartpop/video/7532494901565558021,thisartpop,your name (2016) #edits #omg #omgpage #aesthetic #virał #videoedits #fyp #yourname #anime #animeedit,65,1.0,0.0,2025-7-29,,False,False,False,False,False,False,"['edits', 'omg', 'omgpage', 'aesthetic', 'vira%C5%82', 'videoedits', 'fyp', 'yourname', 'anime', 'animeedit']",2026-04-10 04:17:29,done
https://www.tiktok.com/@bellav.888/video/7596257688707796238,bellav.888,##sarahcameron #aesthetic #obx #summermoodboard #fypシ #2016 #summerstyle #sarahcameronedit #obxedit #starbucks #summeroutfits ,3230,3.0,0.0,,,False,False,False,False,False,False,"['sarahcameron', 'aesthetic', 'obx', 'summermoodboard', 'fyp', '2016', 'summerstyle', 'sarahcameronedit', 'obxedit', 'starbucks', 'summeroutfits']",2026-04-10 04:17:39,error
https://www.tiktok.com/@morifangs/video/7600963680557124895,morifangs,Love me like you do [cc: sailor moon in bio] // #2016 #aesthetic #aestheticedit #edit #fyp ,1083,71.0,0.0,2026-6-79,,False,False,False,False,False,False,"['2016', 'aesthetic', 'aestheticedit', 'edit', 'fyp']",2026-04-10 04:17:46,done
https://www.tiktok.com/@vagreview/video/7624252817183755538,vagreview,"Vibe 2016 🪽 
#aesthetic #2016vibe #ipad ",107,3.0,0.0,2026-6-79,,False,True,False,False,False,False,"['aesthetic', '2016vibe', 'ipad']",2026-04-10 04:17:54,done
https://www.tiktok.com/@nhuvely/video/7597546276749724959,nhuvely,"heard it was 2016 again 💗🫶

#2016 #2016kpop #ulzzang #3rdgen #kpop ",151700,490.0,0.0,2026-6-79,,False,False,False,False,False,False,"['2016', '2016kpop', 'ulzzang', '3rdgen', 'kpop']",2026-04-10 04:18:04,done
https://www.tiktok.com/@editsbylrx/video/7581802695590251783,editsbylrx,she has always been that girl #madisonbeer #2016 #edit #aesthetic #fyppppppppppppppppppppppp ,9836,6.0,0.0,2025-12-9,,False,True,False,False,False,False,"['madisonbeer', '2016', 'edit', 'aesthetic', 'fyppppppppppppppppppppppp']",2026-04-10 04:18:14,done
https://www.tiktok.com/@clau_hersey56/video/7592728327048252673,clau_hersey56,"2016 vibes🎧Hate me - Ellie Goulding 🎧 

#2016 #2016aesthetic #hateme #music #sound ",551,2.0,0.0,2026-6-79,,False,False,False,False,False,False,"['2016', '2016aesthetic', 'hateme', 'music', 'sound']",2026-04-10 04:18:22,done
https://www.tiktok.com/@ericamscarter/video/7597260671679466783,ericamscarter,"Obsessed with this aesthetic & filter 🩷💜🌴☀️
#2016 #tumblraesthetic #tiktokfilter #fyp #tiktokedit ",758,34.0,0.0,2025-5-13,,False,False,False,False,False,False,"['2016', 'tumblraesthetic', 'tiktokfilter', 'fyp', 'tiktokedit']",2026-04-10 04:18:32,done
https://www.tiktok.com/@asunamew/video/7520317857226296607,asunamew,#recommendations#fypage#fyp#viral#aesthetic#2016#2016aesthetic  ,773,3.0,0.0,2025-6-26,,False,False,False,False,False,False,"['recommendations', 'fypage', 'fyp', 'viral', 'aesthetic', '2016', '2016aesthetic']",2026-04-10 04:18:41,done
https://www.tiktok.com/@shotbysheldonnn/video/7603573673051720981,shotbysheldonnn,#foryou #aesthetic #y2kaesthetic #2016 #grunge ,27,7.0,0.0,2026-6-79,,False,False,False,False,False,False,"['foryou', 'aesthetic', 'y2kaesthetic', '2016', 'grunge']",2026-04-10 04:18:48,done
https://www.tiktok.com/@curiousgeorge464/video/7596792603417382157,curiousgeorge464,,754500,1138.0,0.0,2026-6-79,,False,False,False,False,False,False,[],2026-04-10 04:18:53,done
https://www.tiktok.com/@nocturn1x__/video/7593371241784904972,nocturn1x__,#fyp #2016makeup #2016 #aesthetic #moodboard ,27400,34.0,0.0,2026-5-79,,False,False,False,False,False,False,"['fyp', '2016makeup', '2016', 'aesthetic', 'moodboard']",2026-04-10 04:18:59,done
https://www.tiktok.com/@pulpxfic/video/7517725597607431430,pulpxfic,Amo #2016 #viral #fyp #aesthetic ,274000,1152.0,0.0,2025-6-19,,False,False,False,False,False,False,"['2016', 'viral', 'fyp', 'aesthetic']",2026-04-10 04:19:07,done
https://www.tiktok.com/@sredism/video/7591909432183770388,sredism,"i be doing anything but sticking to a style     #arianagrande #arianagrandeedit #aestheticedit #2016 #ariana 
[cc/oc haerwlns]
@tutu @sofia @⋆˙⟡ — 𝘴𝘢𝘳𝘢𝘩 ! @mei @soups @gabi ✿ @josh ",7159,109.0,0.0,2026-6-79,,False,False,False,False,False,False,"['arianagrande', 'arianagrandeedit', 'aestheticedit', '2016', 'ariana']",2026-04-10 04:19:18,done
https://www.tiktok.com/@brrittannyyy_/video/7537859735169633591,brrittannyyy_,"still feels like yesterday 😭
#2016vibes #2016nostalgia #2016throwback #2016aesthetic #fyp ",18600,107.0,0.0,2025-8-12,,False,False,False,False,False,False,"['2016vibes', '2016nostalgia', '2016throwback', '2016aesthetic', 'fyp']",2026-04-10 04:19:26,done
https://www.tiktok.com/@velineeeee/video/7598520050395417864,velineeeee,recreate my 2016 pinterest board 🤣 did i just awaken your 2016 spirit? #pinterest #outfitinspo #outfitideas #2016 ,55700,256.0,0.0,2026-6-79,,False,False,False,False,False,False,"['pinterest', 'outfitinspo', 'outfitideas', '2016']",2026-04-10 04:19:37,done
https://www.tiktok.com/@rizzsaazy/video/7371661217212992811,rizzsaazy,Take me back #real #fyp #foryou #foryoupage #viral #trend #relateable #2016 #musicly #2016core #vibe #asthetic #vibes,30700,145.0,0.0,2024-5-22,,False,False,False,False,False,False,"['real', 'fyp', 'foryou', 'foryoupage', 'viral', 'trend', 'relateable', '2016', 'musicly', '2016core', 'vibe', 'asthetic', 'vibes']",2026-04-10 04:19:45,done
https://www.tiktok.com/@stphanieclrk/video/7597136075538140438,stphanieclrk,This was taken yesterday btw #2016 #tumblraesthetic #westhollywood ,384600,453.0,0.0,2026-6-79,,False,False,False,False,False,False,"['2016', 'tumblraesthetic', 'westhollywood']",2026-04-10 04:19:56,done
https://www.tiktok.com/@w..wasabi/video/7594382294585019668,w..wasabi,"welcome 2016! this are my aesthetic forever guys

#grimes #tumblr #edit #unicorn #pastelcolors ",40,0.0,0.0,2025-12-31,,False,False,False,False,False,False,"['grimes', 'tumblr', 'edit', 'unicorn', 'pastelcolors']",2026-04-10 04:20:05,done
https://www.tiktok.com/@jullymolinna/video/7596122118840962324,jullymolinna,#2016 EUU TE AMO!!🙂‍↔️💆🏼‍♀️ #nostalgic ,223500,319.0,0.0,2025-10-29,,False,False,False,False,False,False,"['2016', 'nostalgic']",2026-04-10 04:20:13,done
https://www.tiktok.com/@pearldoparana/video/7597488102344723732,pearldoparana,,259100,1829.0,0.0,2026-6-79,,False,False,False,False,False,False,[],2026-04-10 04:20:24,done
https://www.tiktok.com/@secret000_.0/video/7563144631869885703,secret000_.0,"qria ter vivido adolescência nessa época 😭
#conecrewdiretoria #2016vibes #fy #viral #costagold ",26200,112.0,0.0,2025-10-20,,False,True,False,False,False,False,"['conecrewdiretoria', '2016vibes', 'fy', 'viral', 'costagold']",2026-04-10 04:20:31,done
https://www.tiktok.com/@millsphoric/video/7488389561085611307,millsphoric,what yall know about nerve #nerve #edit #moodboard #aesthetic #tumblr #2016 #fyp #millsphoric #emmaroberts ,38200,145.0,0.0,2025-4-1,,False,False,False,False,False,False,"['nerve', 'edit', 'moodboard', 'aesthetic', 'tumblr', '2016', 'fyp', 'millsphoric', 'emmaroberts']",2026-04-10 04:20:41,done
https://www.tiktok.com/@gl111tter/video/7596698654602218770,gl111tter,only need a triangl bikini to finish the look #workout #aesthetic #2016 #blowup ,4703,16.0,0.0,2026-6-79,,False,False,False,False,False,False,"['workout', 'aesthetic', '2016', 'blowup']",2026-04-10 04:20:52,done
