video_link,criador,descricao,likes,comentarios,visualizacoes,data_publicacao,musica,patrocinado,anuncio,tiktok_shop,business_account,link_externo,conta_oficial,hashtags,timestamp
https://www.tiktok.com/@caskey8897/video/7608001705464155399,,"Basket : Gawin & Marc 🥰
Ofdo : Gawin & Mix 😘
cr.on video
#earthmix",13900,43.0,,,,False,False,False,False,False,False,['#earthmix'],2026-04-04 23:36:03
https://www.tiktok.com/@andreasorvetaooficial/video/7565350959312915719,,To assustada!! #mecore #fyp #tiktok #fy #viral ,85300,3477.0,,,,False,True,False,False,False,False,"['#mecore', '#fyp', '#tiktok', '#fy', '#viral']",2026-04-04 23:36:15
https://www.tiktok.com/@mixedcores/video/7379063875531967750,,"color mixing 🇸🇬

#singapore #singaporetiktok #color #flag #cores ",22,2.0,,,,False,False,False,False,False,False,"['#singapore', '#singaporetiktok', '#color', '#flag', '#cores']",2026-04-04 23:36:24
https://www.tiktok.com/@gigi_bizinha/video/7527730408805469446,,"#my core? (bisexual💖💜💙!!!!)@vivi_world""s/@#281213yatta/@♰☘☾♡♥︎𝐛𝐚𝐬𝐬𝐢𝐞♱☘☾♡♥︎ ",15600,669.0,,,,False,False,False,False,False,False,['#my'],2026-04-04 23:36:34
https://www.tiktok.com/@hearts4lino7/video/7608311426846821652,,voltei bbs #hearts4lino7 #fyp #mecore ,121,1.0,,,,False,False,False,False,False,False,"['#hearts4lino7', '#fyp', '#mecore']",2026-04-04 23:36:42
https://www.tiktok.com/@star.lilaa/video/7576314597607558418,,#mecore #saiko #bagi #cellbit #beamon ,65,3.0,,,,False,False,False,False,False,False,"['#mecore', '#saiko', '#bagi', '#cellbit', '#beamon']",2026-04-04 23:36:50
https://www.tiktok.com/@rizuko_mioka/video/7025860923097156865,,название новеллы: mix ore##ixore ##ixorenagisa ##up ##n ##yp ##инькоффПротивБуллинга ##nimecore ##дит,893,23.0,,,,False,False,False,False,False,False,"['#ixore ', '#ixorenagisa ', '#up ', '#n ', '#yp ', '#инькоффПротивБуллинга ', '#nimecore ', '#дит']",2026-04-04 23:37:01
https://www.tiktok.com/@umadepressivaquesoqmorre/video/7592092679173901576,,[00:57]Plmrds🤡#Nnflopapfvr🤡 #Creppypastas #dreamcore👁️🌈🍄,5685,1893.0,,,,False,False,False,False,False,False,"['#Nnflopapfvr🤡', '#Creppypastas', '#dreamcore👁️🌈🍄']",2026-04-04 23:37:11
https://www.tiktok.com/@gynaelis52/video/7588738709369933077,,#micore #caconde #feliz2026 #lindo #,213,35.0,,,,False,False,False,False,False,False,"['#micore', '#caconde', '#feliz2026', '#lindo']",2026-04-04 23:37:21
https://www.tiktok.com/@gavin.daniel16/video/7595244781047942430,,#fruitloops #friendlymimic #mimic #mimiccore #fypシ゚viral ,9760,178.0,,,,False,False,False,False,False,False,"['#fruitloops', '#friendlymimic', '#mimic', '#mimiccore', '#fypシ゚viral']",2026-04-04 23:37:31
https://www.tiktok.com/@pietra.walken/video/7609791122621353237,,me core dms KKKKK,33,2.0,,,,False,False,False,False,False,False,[],2026-04-04 23:37:40
https://www.tiktok.com/@i.am.myself026/video/7625026225194552584,,#mecore #fyp #fyppppppppppppppppppppppp #funny #viral ,3,0.0,,,,False,False,False,False,False,False,"['#mecore', '#fyp', '#fyppppppppppppppppppppppp', '#funny', '#viral']",2026-04-04 23:37:49
https://www.tiktok.com/@1bella.yth/video/7583134490529123602,,#core #mecore #callmemaybe #fy #especial ,14,2.0,,,,False,False,False,False,False,False,"['#core', '#mecore', '#callmemaybe', '#fy', '#especial']",2026-04-04 23:37:58
https://www.tiktok.com/@ftsvitoria/video/7530400510998809912,,"eu tenho MUITO medo do amor

#mecore #myvibe #love #aesthetic #girls #viral #vibes ",305700,1763.0,,,,False,False,False,False,False,False,"['#mecore', '#myvibe', '#love', '#aesthetic', '#girls', '#viral', '#vibes']",2026-04-04 23:38:07
https://www.tiktok.com/@numberonemilion/video/7498843558653250821,,Ônibus #alanzoka #mecore #xingling #viral #foryou #foryoupage ,48,2.0,,,,False,False,False,False,False,False,"['#alanzoka', '#mecore', '#xingling', '#viral', '#foryou', '#foryoupage']",2026-04-04 23:38:18
https://www.tiktok.com/@nk_edits26/video/7292200623292910853,,"Scrr ele é minha cópia 😭 | ib: - | filme: ""Família Mitchell e a revolta das máquinas"" | #mecore #dinosaurs #dinossauro #dinosaur ",212900,2634.0,,,,False,False,False,False,False,False,"['#mecore', '#dinosaurs', '#dinossauro', '#dinosaur']",2026-04-04 23:38:27
https://www.tiktok.com/@rkmix082/video/7620834277848059156,,"Agora eu botei descendo 
#mixagem #mixspotify #headswillroll ",15300,289.0,,,,False,True,False,False,False,False,"['#mixagem', '#mixspotify', '#headswillroll']",2026-04-04 23:38:38
https://www.tiktok.com/@capyzintf/video/7603501699218590983,,#CapCut #dreamcore #weirdcore #templetcapcut #fypシ ,41,4.0,,,,False,False,False,False,False,False,"['#CapCut', '#dreamcore', '#weirdcore', '#templetcapcut', '#fypシ']",2026-04-04 23:38:47
https://www.tiktok.com/@spotmix00/video/7624991672010640660,,#Spotifymix #funk #mix,50,0.0,,,,False,False,False,False,False,False,"['#Spotifymix', '#funk', '#mix']",2026-04-04 23:38:57
https://www.tiktok.com/@seilaybe3r3/video/7622421217303186709,,eu ia postar do dia do aniversário dela mas sou ansiosa e queria ver logo a reacao da sophia noob || chico buarque né pq ela gosta e me faz lembrar dela (mesmo eu tendo ciúmes dele 🤮🤮🤮,75,10.0,,,,False,False,False,False,False,False,[],2026-04-04 23:39:07
https://www.tiktok.com/@excfs/video/7608797846858452237,,🦢 #corecore #mixcore #edit #real #mecore,159,4.0,,,,False,False,False,False,False,False,"['#corecore', '#mixcore', '#edit', '#real', '#mecore']",2026-04-04 23:39:18
https://www.tiktok.com/@mm.fox/video/7532545139659525432,,#jenniersbody #meganfox #fyp #fypシ゚ #pyf ,605300,6371.0,,,,False,False,False,False,False,False,"['#jenniersbody', '#meganfox', '#fyp', '#fypシ゚', '#pyf']",2026-04-04 23:39:26
https://www.tiktok.com/@fabstarden/video/7456213230629784838,,"não achei o comentário de quem pediu, mas tá aí! k.o - pabllo vittar (jiafei & cupcakke version) ",212600,4198.0,,,,False,False,False,False,False,False,[],2026-04-04 23:39:36
https://www.tiktok.com/@vilmagruppijp/video/7579253650875223303,,#micore #micore2026 ,1276,285.0,,,,False,False,False,False,False,False,"['#micore', '#micore2026']",2026-04-04 23:39:46
https://www.tiktok.com/@pirocudodeshibuya/video/7599901762597768468,,#mix #spotifymix ,82700,643.0,,,,False,False,False,False,False,False,"['#mix', '#spotifymix']",2026-04-04 23:39:54
https://www.tiktok.com/@marsh.mallowyyy/video/7623416706496466184,,Yooo babu rao ka style haiw ree😋😞🤡🔫💔😆🥀#fyp #hehehe #pagal #mecore ,56,3.0,,,,False,False,False,False,False,False,"['#fyp', '#hehehe', '#pagal', '#mecore']",2026-04-04 23:40:03
https://www.tiktok.com/@mixedcores/video/7378933031131811077,,A responder a @djkddkdk23,74,0.0,,,,False,False,False,False,False,False,[],2026-04-04 23:40:13
https://www.tiktok.com/@_sspavyxz/video/7451807607372664069,,"MEMEMEMEMEMEMEEEEE
#fy #fyp #trend #songs #sexuality #bissexual #demisexual #nonbonary #naobinario #pride #lgbt #lgbtqia",185,3.0,,,,False,False,False,False,False,False,"['#fy', '#fyp', '#trend', '#songs', '#sexuality', '#bissexual', '#demisexual', '#nonbonary', '#naobinario', '#pride', '#lgbt', '#lgbtqia']",2026-04-04 23:40:24
https://www.tiktok.com/@.0.ciel/video/7519947650624457990,,eu amo essa estética mas não sei o nome #foryou #mecore #fyy #fyy #decora #kidcore #viral ,472,19.0,,,,False,False,False,False,False,False,"['#foryou', '#mecore', '#fyy', '#fyy', '#decora', '#kidcore', '#viral']",2026-04-04 23:40:34
https://www.tiktok.com/@st4rcyn_n/video/7622017052911406344,,#Mecore × :: #intp ,17,0.0,,,,False,False,False,False,False,False,"['#Mecore', '#intp']",2026-04-04 23:40:44
https://www.tiktok.com/@hellololertddr/video/7617325109623164191,,Mimic Core Pt 2 [since u guys loved pt1] (credits to og creators) ,1263,48.0,,,,False,False,False,False,False,False,[],2026-04-04 23:40:54
https://www.tiktok.com/@st0nx.000/video/7508470084390735112,,"loopié un “fuck” y terminé en el multiverso
drill.mp9 // FLX4 moment ",56,4.0,,,,False,False,False,False,False,False,[],2026-04-04 23:41:03
https://www.tiktok.com/@sj_studi0s/video/7556046787920940302,,"Insta: Rukiaseye

#sjstudios #fyp #mixcore #life #hope ",110,0.0,,,,False,False,False,False,False,False,"['#sjstudios', '#fyp', '#mixcore', '#life', '#hope']",2026-04-04 23:41:14
https://www.tiktok.com/@suendyer/video/7599815035455687957,,#generofluido #genero #mecore #mecoretrend #trend,5349,168.0,,,,False,False,False,False,False,False,"['#generofluido', '#genero', '#mecore', '#mecoretrend', '#trend']",2026-04-04 23:41:25
https://www.tiktok.com/@kingofnewvillage/video/7608609800699612423,,"não flopa pfv🕊💔

 #spotify #remix #foryou #evanescence #music ",38400,487.0,,,,False,False,False,False,False,False,"['#spotify', '#remix', '#foryou', '#evanescence', '#music']",2026-04-04 23:41:35
https://www.tiktok.com/@mem.core/video/7624973423743077652,,#мем #жиза #прикол #друг ,66,0.0,,,,False,False,False,False,False,False,"['#мем', '#жиза', '#прикол', '#друг']",2026-04-04 23:41:45
https://www.tiktok.com/@mixcore3/video/7523047047176441093,,#viral_video #fyppppppppppppppppppppppp @official_jilo💰💎 ,95,9.0,,,,False,False,False,False,False,False,"['#viral_video', '#fyppppppppppppppppppppppp']",2026-04-04 23:41:53
https://www.tiktok.com/@ikisskenny/video/7614720235869932808,,"𐔌🦄🍭.˚ᛝ # 🄼ᧉ 🄲᥆rᧉ 🩷🌈₊˚♪   ଘ(੭ ˘ ᵕ˘)っ
#foryou #moodboard ",1087,49.0,,,,False,False,False,False,False,False,"['#foryou', '#moodboard']",2026-04-04 23:42:03
https://www.tiktok.com/@mandika.dj/video/7610045198176898311,,Não penso em pessoa certa  💅🏽,765400,2939.0,,,,False,False,False,False,False,False,[],2026-04-04 23:42:13
https://www.tiktok.com/@mmmecore/video/7564450460757658888,,#mecore #skins #eat #calorias #bodygoals ,14800,107.0,,,,False,False,False,False,False,False,"['#mecore', '#skins', '#eat', '#calorias', '#bodygoals']",2026-04-04 23:42:22
https://www.tiktok.com/@gwenn_mm/video/7624628975729380629,,I love being annoying.🥹#mecore #fryp #bleueyes#pov #bleu ,56,19.0,,,,False,False,False,False,False,False,"['#mecore', '#fryp', '#bleueyes', '#pov', '#bleu']",2026-04-04 23:42:31
https://www.tiktok.com/@mio_kko/video/7595756548899507464,,#zombiebeatsz2000 #zombiebeatz #mecore #2000s #foryoupage ,49,2.0,,,,False,False,False,False,False,False,"['#zombiebeatsz2000', '#zombiebeatz', '#mecore', '#2000s', '#foryoupage']",2026-04-04 23:42:39
https://www.tiktok.com/@sonicdubscore/video/7586393220108586261,,Eu core parte 1,54,5.0,,,,False,False,False,False,False,False,[],2026-04-04 23:42:50
https://www.tiktok.com/@kamitshi/video/7309225220802383110,,"Estéticas vibes - Fogcore/Mistcore ✨

#kamitshi #liminal #backrooms",64,8.0,,,,False,False,False,False,False,False,"['#kamitshi', '#liminal', '#backrooms']",2026-04-04 23:43:01
https://www.tiktok.com/@eacacaudnv/video/7577453353576189191,,Abertura de festa #remix #edição #festa #abertura ,7493,67.0,,,,False,False,False,False,False,False,"['#remix', '#edição', '#festa', '#abertura']",2026-04-04 23:43:14
https://www.tiktok.com/@iorranabryan/video/7613451579538165012,,ainda nao enjoamos essa 🙈 #newjeans #fypシ゚ #for ,158300,635.0,,,,False,False,False,False,False,False,"['#newjeans', '#fypシ゚', '#for']",2026-04-04 23:43:25
https://www.tiktok.com/@dicasdarafavs/video/7610835693245369608,,,71,10.0,,,,False,False,False,False,False,False,[],2026-04-04 23:43:36
https://www.tiktok.com/@eusoutamiris/video/7602600525183618311,,Valeu cada centavo 🥹🤍✨ #fyp #foryoupage ,53,2.0,,,,False,True,False,False,False,False,"['#fyp', '#foryoupage']",2026-04-04 23:43:44
https://www.tiktok.com/@trappedinabelljar/video/7499546821266623775,,"Star, the first single off my upcoming album Spirits, is out now!!
#indie",77,6.0,,,,False,False,False,False,False,False,['#indie'],2026-04-04 23:43:52
https://www.tiktok.com/@i.am.shakira3/video/7364168578595163398,,Baby Mix 🤏 #fy #iamshakira3 #thailand #thaiactor #bl #mixxiw #babymix ,1103,4.0,,,,False,False,False,False,False,False,"['#fy', '#iamshakira3', '#thailand', '#thaiactor', '#bl', '#mixxiw', '#babymix']",2026-04-04 23:44:02
https://www.tiktok.com/@._268948/video/7617104264338459922,,#smile #foryou #core #fyp #fyppppppppppppppppppppppp ,93,,,,,False,False,False,False,False,False,"['#smile', '#foryou', '#core', '#fyp', '#fyppppppppppppppppppppppp']",2026-04-04 23:44:13
https://www.tiktok.com/@mixecores/video/7463116540947205409,,"you're gonna be dead 🤣
#fyp ",53,0.0,,,,False,True,False,False,False,False,['#fyp'],2026-04-04 23:44:23
https://www.tiktok.com/@biel.oliveira2_/video/7593702839906503954,,,15300,3048.0,,,,False,False,False,False,False,False,[],2026-04-04 23:44:33
https://www.tiktok.com/@mysaka_1/video/7621956164296789268,,я🦉🦇#трупневесты#mecore#виктортрупневесты#эмили,91,6.0,,,,False,False,False,False,False,False,"['#трупневесты', '#mecore', '#виктортрупневесты', '#эмили']",2026-04-04 23:44:42
https://www.tiktok.com/@johan_ptk/video/7556287009808043286,,⚡️ARCADE XX - BOOKLEG ⚡️,87,3.0,,,,False,True,False,False,False,False,[],2026-04-04 23:44:51
https://www.tiktok.com/@lah_229/video/7617298659130019090,,naum tava gostando do outro naum aí eu vim I repostei gente PFVR N FLOPEMMMMMM,29,0.0,,,,False,False,False,False,False,False,[],2026-04-04 23:45:01
https://www.tiktok.com/@jojodaquenlandia/video/7600504305837149448,,#fyp #zicaeoscamaleoes ,137,11.0,,,,False,False,False,False,False,False,"['#fyp', '#zicaeoscamaleoes']",2026-04-04 23:45:08
https://www.tiktok.com/@mixcore50/video/7584452073102576918,,"LINK IN BIO 🌟

Best shaker in the game 

#shaker #gym #fitness ",4,0.0,,,,False,False,False,False,False,False,"['#shaker', '#gym', '#fitness']",2026-04-04 23:45:16
https://www.tiktok.com/@urne1599/video/7506561793624526086,,#grindcore #haggus #mincecore #fyp ,13800,600.0,,,,False,False,False,False,False,False,"['#grindcore', '#haggus', '#mincecore', '#fyp']",2026-04-04 23:45:24
https://www.tiktok.com/@michiklip/video/7611000767817829650,,"@michix_mlbb core 😂

#michix #mlbb ",25500,109.0,,,,False,False,False,False,False,False,"['#michix', '#mlbb']",2026-04-04 23:45:35
https://www.tiktok.com/@pirocudodeshibuya/video/7617888866703494421,,#mix #spotifymix ,5859,98.0,,,,False,False,False,False,False,False,"['#mix', '#spotifymix']",2026-04-04 23:45:46
https://www.tiktok.com/@ruru_12548/video/7610646092979506453,,#meutriocore #fyypp #fyyyypp #naoflopa #foryou ,3175,59.0,,,,False,False,False,False,False,False,"['#meutriocore', '#fyypp', '#fyyyypp', '#naoflopa', '#foryou']",2026-04-04 23:45:54
https://www.tiktok.com/@mixedcores/video/7377450019252620550,,#asmr #painting #paint #colors #color #colormixing #cores ,44,0.0,,,,False,False,False,False,False,False,"['#asmr', '#painting', '#paint', '#colors', '#color', '#colormixing', '#cores']",2026-04-04 23:46:05
https://www.tiktok.com/@.yunae.wong/video/7619685519903051029,,#fy #viralvideo#myvibecore #viral ,58,2.0,,,,False,False,False,False,False,False,"['#fy', '#viralvideo', '#myvibecore', '#viral']",2026-04-04 23:46:17
https://www.tiktok.com/@yoifox/video/7589303437041405204,,show di sábado #fyp #alternative #darkpop ,2013,143.0,,,,False,True,False,False,False,False,"['#fyp', '#alternative', '#darkpop']",2026-04-04 23:46:24
https://www.tiktok.com/@jadyastrell/video/7619496874546072852,,#theamazingdigitalcircus #theamazingdigitalcircusep8 #foryou #digitalcircus #meme ,14200,542.0,,,,False,False,False,False,False,False,"['#theamazingdigitalcircus', '#theamazingdigitalcircusep8', '#foryou', '#digitalcircus', '#meme']",2026-04-04 23:46:33
https://www.tiktok.com/@odjpedro/video/7377805411497430277,,"Tá ai o spotify que tanto falam…
#Funk2000 #FunkAnos2000 ",13100,452.0,,,,False,False,False,False,False,False,"['#Funk2000', '#FunkAnos2000']",2026-04-04 23:46:41
https://www.tiktok.com/@aleatoriomist/video/7624997540840164615,,#mecore ,96,0.0,,,,False,False,False,False,False,False,['#mecore'],2026-04-04 23:46:52
https://www.tiktok.com/@mixecores/video/7458356282098076960,,"""Me outside the car , put my feet on the ground"" , comment like that and mention your friends 👇 ",54,0.0,,,,False,False,False,False,False,False,[],2026-04-04 23:47:01
https://www.tiktok.com/@mixedcores/video/7380091258573704454,,A responder a @beronicacastillo8 honduras 🇭🇳,28,3.0,,,,False,False,False,False,False,False,[],2026-04-04 23:47:10
https://www.tiktok.com/@suronau/video/7564535786213870866,,Fr #rosé #blackpink #deadline #explore ,1475,3.0,,,,False,True,False,False,False,False,"['#rosé', '#blackpink', '#deadline', '#explore']",2026-04-04 23:47:21
https://www.tiktok.com/@harry51591/video/7612995044479552789,,"core

#mecore #core #sad ",83,0.0,,,,False,True,False,False,False,False,"['#mecore', '#core', '#sad']",2026-04-04 23:47:32
https://www.tiktok.com/@yoongiwif_/video/7582671300062448916,,"A PEDIDOSSSSS
#fyyyyyyyyyyyyy #foryou #naobinario #straykids ",64,3.0,,,,False,False,False,False,False,False,"['#fyyyyyyyyyyyyy', '#foryou', '#naobinario', '#straykids']",2026-04-04 23:47:41
https://www.tiktok.com/@mixcore3/video/7485777419933158711,,#fyppppppppppppppppppppppp #viral @~||~Itz….Lil Khophi Sinner~||~,127,7.0,,,,False,False,False,False,False,False,"['#fyppppppppppppppppppppppp', '#viral']",2026-04-04 23:47:51
https://www.tiktok.com/@powder3346/video/7574507423176609045,,,69,1.0,,,,False,False,False,False,False,False,[],2026-04-04 23:48:02
https://www.tiktok.com/@mixxcore/video/7261357975430860058,,#truckersmp #ets2mp #truckdriver #t #machdasplusweg ,13,0.0,,,,False,False,False,False,False,False,"['#truckersmp', '#ets2mp', '#truckdriver', '#t', '#machdasplusweg']",2026-04-04 23:48:10
https://www.tiktok.com/@sopheynana/video/7613831157569817874,,#mecore #nerdcore #geek #fyp,29,1.0,,,,False,False,False,False,False,False,"['#mecore', '#nerdcore', '#geek', '#fyp']",2026-04-04 23:48:20
https://www.tiktok.com/@maria.marins97/video/7587210865204579591,,"me core...
.
.
.
.
tava sem ideia de vídeo:(
#foryoupage #fyp #mecore#fyppppppppppppppppppppppp ",25,8.0,,,,False,False,False,False,False,False,"['#foryoupage', '#fyp', '#mecore', '#fyppppppppppppppppppppppp']",2026-04-04 23:48:29
https://www.tiktok.com/@hellololertddr/video/7619595326839852319,,Mimic Core [FULL COMP] #comp #core #tiktok #mimic #blowthisup ,6,3.0,,,,False,False,False,False,False,False,"['#comp', '#core', '#tiktok', '#mimic', '#blowthisup']",2026-04-04 23:48:39
https://www.tiktok.com/@idkwhouis349/video/7622711004656373006,,#viral #mecore #fyppppppppppppppppppppppp #core ,90,1.0,,,,False,False,False,False,False,False,"['#viral', '#mecore', '#fyppppppppppppppppppppppp', '#core']",2026-04-04 23:48:50
https://www.tiktok.com/@misscoreband/video/7614211070907092247,,"Away, away, away… by Misscore, rock band from Poland. :) 🇵🇱 ",20,0.0,,,,False,False,False,False,False,False,[],2026-04-04 23:48:57
https://www.tiktok.com/@eusoutamiris/video/7608646353949920530,,Respondendo a @Eve 🦋 e é uma delícia #fyp #foryoupage ,1050,145.0,,,,False,False,False,False,False,False,"['#fyp', '#foryoupage']",2026-04-04 23:49:05
https://www.tiktok.com/@herecesar1/video/7591623788559682836,,"🇧🇷🇧🇷♥️♥️♥️

#fyp #fy #🇧🇷 ",521,125.0,,,,False,False,False,False,False,False,"['#fyp', '#fy', '#🇧🇷']",2026-04-04 23:49:15
https://www.tiktok.com/@gabi32462/video/7573442104534240533,,"Não pule esse vídeo, no final tem uma grande revelação. 🔮✨",266,90.0,,,,False,False,False,False,False,False,[],2026-04-04 23:49:24
https://www.tiktok.com/@mixcore3/video/7561848367966473528,,#fyp #viral ,147,5.0,,,,False,False,False,False,False,False,"['#fyp', '#viral']",2026-04-04 23:49:35
https://www.tiktok.com/@mixedcores/video/7380878249347353862,,"🇵🇭🇰🇷

#philippines #filipina #filipino #coreia #korean #southkorea ",2,0.0,,,,False,False,False,False,False,False,"['#philippines', '#filipina', '#filipino', '#coreia', '#korean', '#southkorea']",2026-04-04 23:49:44
https://www.tiktok.com/@duda_super.star11/video/7512951129790024965,,"ME CORE!!💕🎊🎉
#mecore #fyyyyyyyyyyyyyyyy #fyyyyyyyyy #viralizar #fy #fouryou #kidcore #kidcore🍄🐸🌈⚡️ ",329,7.0,,,,False,False,False,False,False,False,"['#mecore', '#fyyyyyyyyyyyyyyyy', '#fyyyyyyyyy', '#viralizar', '#fy', '#fouryou', '#kidcore', '#kidcore🍄🐸🌈⚡️']",2026-04-04 23:49:54
https://www.tiktok.com/@fruitiger.aero85/video/7589119922110762261,,#nostalgIA 미트코어 야르😍😍#미트코어🥩 ,609,25.0,,,,False,False,False,False,False,False,"['#nostalgIA', '#미트코어🥩']",2026-04-04 23:50:04
https://www.tiktok.com/@user882550769/video/7623587608567844103,,#mecore,17,0.0,,,,False,False,False,False,False,False,['#mecore'],2026-04-04 23:50:14
https://www.tiktok.com/@good.mood375/video/7600652540182531346,,mic core,919,20.0,,,,False,False,False,False,False,False,[],2026-04-04 23:50:23
https://www.tiktok.com/@custodz/video/7606524666794020104,,NEW MASHUP❗🔥🔥🔥  #mashup #remix #fyp ,284000,1264.0,,,,False,False,False,False,False,False,"['#mashup', '#remix', '#fyp']",2026-04-04 23:50:33
https://www.tiktok.com/@lala.pra.saturno/video/7543576240196701445,,"Mine core KAKAKAKA🤣💜

..",49,3.0,,,,False,False,False,False,False,False,[],2026-04-04 23:50:43
https://www.tiktok.com/@minecorepage/video/7535792988190985478,,"Minecore: Connecting Global Computing Power with Core Technology

Mobile mining × AI scheduling × Full-chain transparency",3006,,,,,False,False,False,False,False,False,[],2026-04-04 23:50:53
https://www.tiktok.com/@avisionariana/video/7579302406874303762,,"Duas personalidades 🤷🏽‍♀️ kkkkk
.
.
#mecore #mecoreedit #mecoretrend",5,0.0,,,,False,True,False,False,False,False,"['#mecore', '#mecoreedit', '#mecoretrend']",2026-04-04 23:51:01
https://www.tiktok.com/@mixcore50/video/7584126131448679702,,"LINK IN BIO 💫

Order your electric shaker NOW! 

#shaker #fitness ",3,0.0,,,,False,False,False,False,False,False,"['#shaker', '#fitness']",2026-04-04 23:51:13
https://www.tiktok.com/@_bingo.lovez/video/7555988934241684754,,Bingo 🧡 | me core <3 #bingo #mecore #blueyedit #fyp #xyzcba ,48700,916.0,,,,False,False,False,False,False,False,"['#bingo', '#mecore', '#blueyedit', '#fyp', '#xyzcba']",2026-04-04 23:51:21
